Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.093.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.093.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.092.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.092.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.091.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.091.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.090.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.090.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.089.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.089.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.088.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.088.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.087.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.087.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.086.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.086.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.085.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.085.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.084.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.084.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.083.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.083.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.082.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.082.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
